ik,n,t,eps,lam_1s,E0eff_1s,lam
4,2,0.096774,0.5290153063,0.0006929420646653883,0.3577563509508386,0.0006929420646653883
4,3,0.096774,0.5309323258,0.000666351326154052,0.3534760273933718,0.000666351326154052
4,4,0.096774,0.5360631862,0.0006443738305350009,0.3504325872650728,0.0006443738305350009
4,5,0.096774,0.7018882874,0.0006523279955592242,0.36371731725440243,0.0006523279955592242
4,6,0.096774,0.7060223861,0.0006295128284628875,0.3600236492290472,0.0006295128284628875
4,7,0.096774,0.7402620137,0.0005317568464536656,0.34547601320930327,0.0005317568464536656
4,8,0.096774,0.7467765708,0.00059046056934913,0.35659183504945985,0.00059046056934913
5,1,0.129032,-0.088295093,0.01143560875720199,0.6185822271125577,0.01143560875720199
5,2,0.129032,0.5215635782,0.0007431853129652278,0.3647063948573795,0.0007431853129652278
5,3,0.129032,0.5256552773,0.0006906290097946563,0.35677567984996683,0.0006906290097946563
5,4,0.129032,0.5342273829,0.0006552797833686756,0.3520572448313833,0.0006552797833686756
5,5,0.129032,0.6877807348,0.0006845231263479427,0.36786085320925693,0.0006845231263479427
5,6,0.129032,0.6947214544,0.0006585931459671046,0.3638559841915094,0.0006585931459671046
5,7,0.129032,0.740490666,0.0006015347705630408,0.3580994008362244,0.0006015347705630408
5,8,0.129032,0.7487541138,0.0005107938047854353,0.3421748327860917,0.0005107938047854353
6,1,0.16129,-0.0867124715,0.011349508139641005,0.6178467540445833,0.011349508139641005
6,2,0.16129,0.5119514941,0.0008084498524008846,0.3730094869124146,0.0008084498524008846
6,3,0.16129,0.5194515522,0.0007183762980504156,0.36037878014004676,0.0007183762980504156
6,4,0.16129,0.5318962268,0.0006692141717370159,0.35409351026564145,0.0006692141717370159
6,5,0.16129,0.6750582432,0.0007092613873491051,0.37084692045645795,0.0007092613873491051
6,6,0.16129,0.6832989485,0.0006876616759796603,0.3674871698633509,0.0006876616759796603
6,7,0.16129,0.7351951571,0.0006096499581344038,0.35916752586941314,0.0006096499581344038
6,8,0.16129,0.7558798689,0.000529601777419307,0.34622638804608696,0.000529601777419307
7,1,0.193548,-0.0847778444,0.011243598383917265,0.6169298587640238,0.011243598383917265
7,2,0.193548,0.5003061179,0.0008875418605795974,0.38213072334263637,0.0008875418605795974
7,3,0.193548,0.5125878016,0.0007483377270503049,0.36408650536259834,0.0007483377270503049
7,4,0.193548,0.5290971805,0.0006860372879469441,0.3564947539105308,0.0006860372879469441
7,5,0.193548,0.6641774639,0.0007278408635576756,0.3730026729019671,0.0007278408635576756
7,6,0.193548,0.6720172152,0.0007166296254980396,0.37094024600622966,0.0007166296254980396
7,7,0.193548,0.7309456481,0.0006147514314511292,0.3598087064757592,0.0006147514314511292
7,8,0.193548,0.7610541098,0.0005175775402426683,0.3443588745417208,0.0005175775402426683
8,1,0.225806,-0.0824911509,0.011120683223806181,0.6158573118558022,0.011120683223806181
8,2,0.225806,0.4868674918,0.0009786161578459799,0.3915777772254739,0.0009786161578459799
8,3,0.225806,0.505290718,0.0007795110178458796,0.3677558133267173,0.0007795110178458796
8,4,0.225806,0.5258676219,0.0007054673993002957,0.3591896679433921,0.0007054673993002957
8,5,0.225806,0.6551810051,0.0007421011890339221,0.37464125472028853,0.0007421011890339221
8,6,0.225806,0.661006159,0.000745367218272173,0.3742172836076936,0.000745367218272173
8,7,0.225806,0.7277569533,0.0006168354867772029,0.3600302268774344,0.0006168354867772029
8,8,0.225806,0.7671817481,0.0005051898990114807,0.3424505597396027,0.0005051898990114807
9,1,0.258065,-0.0798522918,0.010980582709871931,0.614620071649598,0.010980582709871931
9,2,0.258065,0.4719546786,0.0010794996075428084,0.4009591930810882,0.0010794996075428084
9,3,0.258065,0.4977438064,0.0008113952141364377,0.37133898271774973,0.0008113952141364377
9,4,0.258065,0.5222545682,0.0007272897915273706,0.36212788393511136,0.0007272897915273706
