ik,n,t,eps,lam_1s,E0eff_1s,lam_2s,E0eff_2s,lam_2p,E0eff_2p,lam
4,2,0.80864,0.1182836459,2.674234306940176e-06,2.3538255373055685,0.0008126567312388023,0.2648407706712639,0.14309223153583076,2.668959875733051,0.14390756250137648
4,3,0.80864,0.3261375848,2.5595673431290254e-06,2.3372546381378285,0.000308787756076095,0.21259488925359296,0.10458172872387989,2.3736555166753144,0.10489307604729911
4,4,0.80864,0.3408129486,2.55988646944688e-06,2.337689784971355,0.0003070547651247722,0.21280276502622403,0.1029005348345483,2.3770532287486015,0.10321014948614252
4,5,0.80864,0.3536652627,2.558027079241329e-06,2.337664265508414,0.0003036122283407329,0.21277545780690757,0.10100437038576944,2.3767572434107995,0.10131054064118941
4,6,0.80864,0.3917119491,2.5360922358312612e-06,2.334418625491587,0.0002752033587612226,0.2100486570005217,0.09169466504825491,2.3413054070826678,0.09197240449925197
4,7,0.80864,0.5729489473,2.441527649748547e-06,2.320012011470086,0.00010514534058711996,0.16174499126955602,0.05791096821276361,2.096191837473932,0.058018555081000484
4,8,0.80864,0.5928070252,2.4329159593585944e-06,2.3187995596229167,0.00010402959222606442,0.1629264298475039,0.0554942406987897,2.087995309905548,0.055600703206975126
5,1,0.783979,-0.0007836826,2.737043969164116e-06,2.3623584597446827,0.0013353803398813246,0.2923430205296235,0.11616902314878723,2.827831097891949,0.11750714053263772
5,2,0.783979,0.1268089781,2.669786608463128e-06,2.353212426463915,0.0007836079474789405,0.2628331323069255,0.14272818450556446,2.6574729757961078,0.14351446223965186
5,3,0.783979,0.3276194812,2.5588182918719547e-06,2.3371465448904365,0.00030680632423961765,0.21227126193124077,0.10423597417648575,2.371832672192722,0.10454533931901724
5,4,0.783979,0.3420571051,2.5591503828494497e-06,2.3375781189758906,0.0003051407442337043,0.21247976147741113,0.10259380018570172,2.3752072608560177,0.10290150008031827
5,5,0.783979,0.3550387353,2.5572882577148028e-06,2.337555280275221,0.00030170509380950773,0.2124546908429085,0.10068960103550961,2.3749372457367293,0.10099386341757684
5,6,0.783979,0.3930268872,2.535465450666638e-06,2.3343276477506874,0.00027334565493490447,0.20967648519007726,0.09144042739824364,2.3395080430732205,0.0917163085186292
5,7,0.783979,0.5680814619,2.4444188405769226e-06,2.320477941362044,0.00010812380691697198,0.16301964184966458,0.05874825165158987,2.1030905570947986,0.05885881987734742
5,8,0.783979,0.5869875745,2.4355271516279023e-06,2.3191868830919384,0.00010682482972658118,0.16411895165001955,0.05629082546391912,2.0941259814791806,0.05640008582079733
6,1,0.751071,-0.0083007518,2.7409362802118097e-06,2.3628755097328615,0.0013775600638158102,0.2940979350087146,0.11111190841082351,2.836950352118789,0.11249220941091953
