ik,n,t,eps,lam_1s,E0eff_1s,lam_2s,E0eff_2s,lam_2p,E0eff_2p,lam
27,4,0.62265,0.5980678804,2.3282113179860885e-06,2.762959536498336,0.0001469842861611205,0.25747700155545744,0.02800003408699659,3.0163197211375348,0.028149346584475696
27,5,0.62265,0.6009772374,2.3197116350774666e-06,2.760990307503948,0.00014484746296931363,0.25730935767080726,0.027608613197813506,3.006019961015041,0.027755780372417896
27,6,0.62265,0.7210985788,2.3033047112492046e-06,2.7593123801597828,0.0001324134415734542,0.2551002038726068,0.025288575990128296,2.982063729215018,0.025423292736413
27,7,0.62265,1.179330235,2.0891227161650734e-06,2.71130161497914,1.8974582860846568e-05,0.14514104285812746,0.013341518840701665,2.4404823386932444,0.013362582546278676
27,8,0.62265,1.2094851487,2.0839564580224105e-06,2.7103970053493414,1.7117822405503472e-05,0.14004672580758706,0.012915035127878394,2.4213672610451,0.01293423690674192
28,1,0.62332,0.075878593,2.509559340612786e-06,2.7965921219601344,0.0005785518953491942,0.34952863610028195,0.018315755247747346,3.4618306346721095,0.018896816702437154
28,2,0.62332,0.5519436858,2.345815350591714e-06,2.766536013302839,0.00017507367849128291,0.26979518863565116,0.02859737481890301,3.0689636190271496,0.028774794312744885
28,3,0.62332,0.5979250625,2.328267123796001e-06,2.762970692350516,0.00014704543238520856,0.25750299046961295,0.02800325370399108,3.0164566677901914,0.028152627403500084
28,4,0.62332,0.5979250625,2.328267123800204e-06,2.762970692350385,0.00014704543238534736,0.25750299046958597,0.028003253704024206,3.016456667789351,0.028152627403533352
28,5,0.62332,0.6008136788,2.3197669551675256e-06,2.7610010047904208,0.00014490946440487518,0.25733579956368147,0.027612073499452855,3.0061558092277236,0.0277593027308129
28,6,0.62332,0.7209599028,2.3033521931057855e-06,2.7593218479184354,0.00013247193524034448,0.2551294991488948,0.025291054203434485,2.9822009140348307,0.025425829490867934
28,7,0.62332,1.1795544348,2.089030026541071e-06,2.7112801731895915,1.8956249988186865e-05,0.14509645217498432,0.013336711883071544,2.440256688910186,0.013357757163086272
28,8,0.62332,1.2098190795,2.083815654049058e-06,2.7103643242407984,1.709389258773413e-05,0.13998500862849372,0.012908042211926376,2.4210381375988366,0.012927219920168159
29,1,0.63198,0.0793888658,2.508364145083263e-06,2.7963824619850097,0.0005736367446257199,0.3489337830851201,0.018661662283660757,3.459619835022549,0.01923780739243156
29,2,0.63198,0.5447743528,2.3483434796139963e-06,2.767024429896993,0.0001785109807648238,0.2710411078947953,0.028715783545910634,3.075290871817429,0.028896642870155073
29,3,0.63198,0.5961018774,2.3289798846495755e-06,2.7631131668532687,0.00014782796724404108,0.25783467109125147,0.028044395893458206,3.018207107212492,0.028194552840586896
29,4,0.63198,0.5961018774,2.328979884631605e-06,2.763113166853443,0.00014782796724339695,0.2578346710914617,0.028044395893270322,3.0182071072148458,0.02819455284039835
29,5,0.63198,0.5987252435,2.3204734592000476e-06,2.7611376005907737,0.00014570291094331256,0.257673205838795,0.0276562994265089,3.0078915586244404,0.027804322810911414
29,6,0.63198,0.7191865161,2.303958639853669e-06,2.7594427101863097,0.0001332206095878126,0.25550331314750857,0.025322751766667498,2.9839536361028043,0.025458276334895166
29,7,0.63198,1.1824638586,2.087822292342199e-06,2.711000456297484,1.8718592186949345e-05,0.14451493294391332,0.01327427492083514,2.4373170133614925,0.013295081335314431
29,8,0.63198,1.2141116623,2.0820042210734696e-06,2.7099436037478357,1.6788407662061994e-05,0.13919107979283,0.012818413935369142,2.416805603311187,0.012837284347252278
30,1,0.63762,0.0816995507,2.5075783663773545e-06,2.7962446062952506,0.0005704252221256148,0.34854249890136246,0.01888600903378801,3.4581478671743398,0.019458941834280003
30,2,0.63762,0.5401249519,2.349978042912583e-06,2.7673395815835735,0.0001807709649409346,0.271848986173268,0.02878934294439462,3.079370969423687,0.028972463887378466
30,3,0.63762,0.5949372433,2.329433630694117e-06,2.7632037569606296,0.00014833006074242705,0.25804693960567676,0.028070048858156293,3.019317440799476,0.028220708352529413
30,4,0.63762,0.5949372433,2.329433630684833e-06,2.7632037569606624,0.000148330060741837,0.25804693960566755,0.028070048858048226,3.0193174407995733,0.02822070835242075
30,5,0.63762,0.5973907097,2.3209231115870016e-06,2.7612243999552746,0.00014621198550897026,0.2578890820650797,0.027683940298899565,3.0089919802898413,0.027832473207520123
30,6,0.63762,0.718050704,2.3043443750097407e-06,2.75951941696217,0.0001337011083379054,0.2557424537925521,0.025342459613279,2.9850649395608273,0.025478465065991916
30,7,0.63762,1.1843697556,2.0870266167173955e-06,2.7108158501199275,1.8563040485307884e-05,0.14413075022285854,0.01323332143976791,2.4353780888652166,0.013253971506869936
30,8,0.63762,1.216883835,2.080831556940393e-06,2.7096708977866544,1.6593516321530468e-05,0.13867903541217363,0.01276069017813799,2.414068178793631,0.012779364526016461
31,1,0.65247,0.0878757599,2.5054795627937382e-06,2.795876193992281,0.0005619261935984888,0.34749671616974653,0.019472059576607418,3.454133317170435,0.020036491249768702
31,2,0.65247,0.5279587657,2.3542555496804754e-06,2.7681630378853788,0.0001868030844315075,0.2739605446958199,0.02897654327613561,3.0900707403992684,0.0291657006161168
31,3,0.65247,0.5919566484,2.3305917330151464e-06,2.7634347068876894,0.00014962257513184305,0.258591003654561,0.028134278447451797,3.0221433755269307,0.028286231614316655
31,4,0.65247,0.5919566484,2.3305917329964642e-06,2.7634347068878746,0.00014962257513095027,0.25859100365467247,0.02813427844724965,3.022143375528475,0.028286231614113595
31,5,0.65247,0.5939736932,2.3220703118886982e-06,2.761445506832826,0.00014752243256462298,0.25844221234330683,0.02775330489662223,3.011791006466629,0.02790314939949874
31,6,0.65247,0.7151332452,2.3053274081761054e-06,2.7597144105984173,0.0001349385686092988,0.25635513306689417,0.025391667700170532,2.9878931530147366,0.025528911596188007
31,7,0.65247,1.1894261392,2.0848974533782545e-06,2.7103205726223076,1.815073454491371e-05,0.14309837988314433,0.013124440559658565,2.4301808358153965,0.013144676191656858
31,8,0.65247,1.2240950728,2.0777642897516653e-06,2.708956035272309,1.6095396738044067e-05,0.13735063009889292,0.012610811998057093,2.4069231212048545,0.012628985159084888
32,1,0.65316,0.0881659747,2.5053807457159894e-06,2.7958588252668504,0.0005615289839619198,0.3474474509908642,0.01949903193727429,3.4539396493091994,0.020063066301981927
