r_bohr,u_c,V_H_c
0.51800,5.33825630e-03,1.93050195e+00
0.52000,5.16795963e-03,1.92307694e+00
0.52200,5.00304944e-03,1.91570883e+00
0.52400,4.84335727e-03,1.90839696e+00
0.52600,4.68871983e-03,1.90114070e+00
0.52800,4.53897888e-03,1.89393941e+00
0.53000,4.39398106e-03,1.88679247e+00
0.53200,4.25357773e-03,1.87969926e+00
0.53400,4.11762485e-03,1.87265919e+00
0.53600,3.98598283e-03,1.86567165e+00
0.53800,3.85851641e-03,1.85873607e+00
0.54000,3.73509449e-03,1.85185186e+00
0.54200,3.61559004e-03,1.84501846e+00
0.54400,3.49987997e-03,1.83823530e+00
0.54600,3.38784501e-03,1.83150184e+00
0.54800,3.27936958e-03,1.82481753e+00
0.55000,3.17434169e-03,1.81818183e+00
0.55200,3.07265282e-03,1.81159421e+00
0.55400,2.97419783e-03,1.80505416e+00
0.55600,2.87887485e-03,1.79856116e+00
0.55800,2.78658518e-03,1.79211470e+00
0.56000,2.69723319e-03,1.78571429e+00
0.56200,2.61072622e-03,1.77935944e+00
0.56400,2.52697451e-03,1.77304965e+00
0.56600,2.44589108e-03,1.76678446e+00
0.56800,2.36739168e-03,1.76056339e+00
0.57000,2.29139469e-03,1.75438597e+00
0.57200,2.21782103e-03,1.74825175e+00
0.57400,2.14659409e-03,1.74216028e+00
0.57600,2.07763965e-03,1.73611112e+00
0.57800,2.01088583e-03,1.73010381e+00
0.58000,1.94626298e-03,1.72413793e+00
0.58200,1.88370363e-03,1.71821306e+00
0.58400,1.82314244e-03,1.71232877e+00
0.58600,1.76451610e-03,1.70648464e+00
0.58800,1.70776329e-03,1.70068027e+00
0.59000,1.65282462e-03,1.69491526e+00
0.59200,1.59964254e-03,1.68918919e+00
0.59400,1.54816134e-03,1.68350169e+00
0.59600,1.49832704e-03,1.67785235e+00
0.59800,1.45008735e-03,1.67224080e+00
0.60000,1.40339164e-03,1.66666667e+00
0.60200,1.35819086e-03,1.66112957e+00
0.60400,1.31443750e-03,1.65562914e+00
0.60600,1.27208556e-03,1.65016502e+00
0.60800,1.23109047e-03,1.64473684e+00
0.61000,1.19140909e-03,1.63934426e+00
0.61200,1.15299961e-03,1.63398693e+00
0.61400,1.11582155e-03,1.62866450e+00
0.61600,1.07983571e-03,1.62337662e+00
0.61800,1.04500413e-03,1.61812298e+00
0.62000,1.01129003e-03,1.61290323e+00
0.62200,9.78657814e-04,1.60771704e+00
0.62400,9.47072991e-04,1.60256410e+00
0.62600,9.16502169e-04,1.59744409e+00
0.62800,8.86913012e-04,1.59235669e+00
0.63000,8.58274204e-04,1.58730159e+00
0.63200,8.30555420e-04,1.58227848e+00
0.63400,8.03727296e-04,1.57728707e+00
0.63600,7.77761394e-04,1.57232704e+00
0.63800,7.52630180e-04,1.56739812e+00
0.64000,7.28306991e-04,1.56250000e+00
0.64200,7.04766008e-04,1.55763240e+00
0.64400,6.81982231e-04,1.55279503e+00
0.64600,6.59931454e-04,1.54798762e+00
0.64800,6.38590236e-04,1.54320988e+00
0.65000,6.17935883e-04,1.53846154e+00
0.65200,5.97946418e-04,1.53374233e+00
0.65400,5.78600565e-04,1.52905199e+00
0.65600,5.59877721e-04,1.52439024e+00
0.65800,5.41757940e-04,1.51975684e+00
0.66000,5.24221908e-04,1.51515152e+00
0.66200,5.07250927e-04,1.51057402e+00
0.66400,4.90826890e-04,1.50602410e+00
0.66600,4.74932271e-04,1.50150150e+00
0.66800,4.59550097e-04,1.49700599e+00
0.67000,4.44663939e-04,1.49253731e+00
0.67200,4.30257889e-04,1.48809524e+00
0.67400,4.16316545e-04,1.48367953e+00
0.67600,4.02824998e-04,1.47928994e+00
0.67800,3.89768813e-04,1.47492625e+00
0.68000,3.77134015e-04,1.47058824e+00
0.68200,3.64907074e-04,1.46627566e+00
0.68400,3.53074894e-04,1.46198830e+00
0.68600,3.41624793e-04,1.45772595e+00
0.68800,3.30544496e-04,1.45348837e+00
0.69000,3.19822121e-04,1.44927536e+00
0.69200,3.09446164e-04,1.44508671e+00
0.69400,2.99405487e-04,1.44092219e+00
0.69600,2.89689311e-04,1.43678161e+00
0.69800,2.80287198e-04,1.43266476e+00
0.70000,2.71189047e-04,1.42857143e+00
0.70200,2.62385077e-04,1.42450142e+00
